[006.4s - 010.0s] 在这个视频中,我们将学习有关牛奶的一些基础的博士学习,
[1511.8s - 1512.8s] 我们仍然有空间在杯子上,
[1512.8s - 1514.8s] 所以我们将再次放入另一层,
[1514.8s - 1515.8s] 就像我们之前做过的那样,
[1515.8s - 1516.8s] 把心丝的形状放在
[1516.8s - 1518.8s] 心丝的顶部的顶部上。
[1518.8s - 1520.7s] 把心丝的形状放进去,
[1520.7s - 1521.7s] 我们仍然有空间在
[1521.7s - 1522.7s] 心丝的顶部上,
[1522.7s - 1523.7s] 就像我们之前做过的那样,
[1523.7s - 1524.7s] 直接放入另一层,
[1524.7s - 1525.7s] 就像我们之前做过的那样,
[1525.7s - 1528.1s] 就像我们之前做过的那样,
[1528.1s - 1529.1s] 直接放入另一层,
[1529.1s - 1530.1s] 就像我们之前做过的那样,
[1530.1s - 1531.1s] 直接放入另一层,
[1531.1s - 1532.1s] 就像我们之前做过的那样,
[1532.1s - 1533.1s] 就可以停止放入,
[1533.1s - 1534.1s] 而且可以在这些顶部
[1534.1s - 1536.1s] 加多些层次。
[1536.1s - 1537.1s] 如果你的心丝都已经放进去,
[1537.1s - 1538.1s] 你可以将心丝的形状
[1538.1s - 1539.1s] 切换到一个程度,
[1539.1s - 1540.1s] 请在杯中不同的位置
[1540.1s - 1541.1s] 将心丝的形状放入。
[1541.1s - 1542.1s] 请在这些地方
[1542.1s - 1544.0s] 切换到一个程度,
[1544.0s - 1545.0s] 请在这些地方
[1545.0s - 1546.6s] 在这个设计中要留意的是,
[1546.6s - 1548.4s] 在杯和锅中的牛奶
[1548.4s - 1549.6s] 会开始分离,
[1549.6s - 1552.0s] 如果它在某个额外的时间内坐着。
[1552.0s - 1553.0s] 所以请注意,
[1553.0s - 1554.6s] 在某个额外的时间内坐着,
[1554.6s - 1555.6s] 不要停止,
[1555.6s - 1559.0s] 让面团仍然是液体中的液体。
[1559.0s - 1560.0s] 在拉带艺术中,
[1560.0s - 1562.0s] 我们可以组成两个主要形状,
[1562.0s - 1563.0s] 我们组成两个主要形状,
[1563.0s - 1565.0s] 这就代表了这个设计。
[1565.0s - 1567.0s] 这些形状是心形,
[1567.0s - 1568.0s] 和核形。
[1568.0s - 1571.0s] 心形是由于
[1571.0s - 1573.0s] 在杯中的位置保持,
[1573.0s - 1575.0s] 或稍微向前推动,
[1575.0s - 1577.0s] 结果成为我们目前
[1577.0s - 1579.0s] 在这段视频中的心形。
[1579.0s - 1580.0s] 核形,
[1580.0s - 1581.0s] 在另一边,
[1581.0s - 1582.0s] 是由于
[1582.0s - 1583.0s] 在你流动时,
[1583.0s - 1584.0s] 把图片拉向后,
[1584.0s - 1586.0s] 使线线变成一团,
[1586.0s - 1588.0s] 而不是线线。
[1588.0s - 1590.0s] 我们使用这种新的技巧,
[1590.0s - 1591.0s] 来组成一种设计,
[1591.0s - 1592.3s] 叫做Rosetta。
[1592.3s - 1593.3s] Rosetta是一个
[1593.3s - 1594.3s] 比较难做的设计,
[1594.3s - 1596.3s] 因为它有很多动作,
[1596.3s - 1598.3s] 并没有让你多花时间,
[1598.3s - 1600.3s] 去测试和调整中流动。
[1600.3s - 1602.6s] 不要感到不满,
[1602.6s - 1604.6s] 如果这个设计需要很长时间,
[1604.6s - 1606.6s] 记得不要用在客户上,
[1606.6s - 1607.6s] 因为这种设计,
[1607.6s - 1610.6s] 会让你的心情变得更好。
[1610.6s - 1613.4s] 我们将开始Rosetta,
[1613.4s - 1614.4s] 就像我们开始了
[1614.4s - 1615.4s] Rippled Heart,
[1615.4s - 1616.4s] 和Tulip,
[1616.4s - 1617.4s] 我们将放在
[1617.4s - 1618.4s] 杯中的中心,
[1618.4s - 1620.4s] 在杯中的液体中,
[1620.4s - 1621.4s] 并将杯子
[1621.4s - 1623.4s] 轻轻摆在一起,
[1623.4s - 1624.4s] 形成一个
[1624.4s - 1626.4s] 均匀的线线动作。
[1626.4s - 1627.4s] 就像在Tulip,
[1627.4s - 1628.4s] 我们在看着
[1628.4s - 1629.4s] 心形的顶部
[1629.4s - 1630.4s] 开始形成,
[1630.4s - 1632.4s] 并不让它改变。
[1632.4s - 1633.9s] 但这次,
[1633.9s - 1634.9s] 我们不需要
[1634.9s - 1635.9s] 突然停止流动,
[1635.9s - 1636.9s] 我们将慢慢
[1636.9s - 1637.9s] 移动到
[1637.9s - 1639.9s] 杯中的顶部,
[1639.9s - 1641.9s] 并保持我们的流动率
[1641.9s - 1642.9s] 均匀,
[1642.9s - 1643.9s] 并保持我们的
[1643.9s - 1645.3s] 线线动作均匀。
[1645.3s - 1646.3s] 记住,
[1646.3s - 1647.3s] 不要让你的流动率
[1647.3s - 1648.3s] 减弱,
[1648.3s - 1649.3s] 或在这个时刻
[1649.3s - 1650.3s] 与杯中的
[1650.3s - 1651.3s] 线线动作均匀,
[1651.3s - 1652.3s] 因为这会导致
[1652.3s - 1653.3s] 不均匀的线线。
[1657.6s - 1658.6s] 当杯中的线线
[1658.6s - 1659.6s] 达到杯中的顶部时,
[1659.6s - 1660.6s] 保持这个位置
[1660.6s - 1661.6s] 直到杯中充满,
[1661.6s - 1662.6s] 以形成一个
[1662.6s - 1663.6s] 均匀的心形。
[1664.9s - 1665.9s] 一旦杯中充满,
[1665.9s - 1666.9s] 轻轻地
[1666.9s - 1667.9s] 做一个组合,
[1667.9s - 1668.9s] 将线线连在一起,
[1668.9s - 1669.9s] 滴在中心,
[1669.9s - 1671.9s] 以完成这个设计。
[1671.9s - 1674.4s] 现在,
[1674.4s - 1675.4s] 我们已经介绍了
[1675.4s - 1676.4s] 所有基本的技巧
[1676.4s - 1677.4s] 和形状,
[1677.4s - 1678.9s] 用来添加了
[1678.9s - 1679.9s] 精彩的线线动作。
[1679.9s - 1680.9s] 一旦您舒服了
[1680.9s - 1681.9s] 我们所介绍的所有东西,
[1681.9s - 1682.9s] 请不吝点赞,
[1682.9s - 1683.9s] 并将这些设计
[1683.9s - 1684.9s] 和技巧
[1684.9s - 1685.9s] 组合在不同的方式中。
[1685.9s - 1694.2s] 记住,
[1694.2s - 1695.2s] 有精彩的线线动作,
[1695.2s - 1696.2s] 就有很大的责任。
[1697.2s - 1699.9s] 而当您添加了
[1699.9s - 1700.9s] 美好的东西
[1700.9s - 1701.9s] 给客户时,
[1701.9s - 1702.9s] 您将向他们保证
[1702.9s - 1703.9s] 您一直都做了
[1703.9s - 1704.9s] 所有的工作,
[1704.9s - 1705.9s] 以确保他们的飲品
[1705.9s - 1706.9s] 会味道
[1706.9s - 1707.9s] 正如看上去。
